library,hvplot,geoviews,seaborn,holoviews,geopandas,matplotlib,numpy,bokeh,pandas
hvplot,0.0,0.03260869565217391,0.021739130434782608,0.5398550724637681,0.04891304347826087,0.023550724637681156,0.0,0.11050724637681159,0.10326086956521739
geoviews,0.047619047619047616,0.0,0.0,0.43121693121693117,0.0582010582010582,0.03968253968253968,0.007936507936507936,0.1402116402116402,0.08465608465608465
seaborn,0.0002697599136768276,0.0,0.0,0.0001348799568384138,0.0006069598057728622,0.46803345022929593,0.015870874921320024,0.002000719359769805,0.23077960615052603
holoviews,0.0916359163591636,0.050123001230012294,0.0018450184501845018,0.0,0.0030750307503075026,0.030750307503075027,0.01014760147601476,0.37177121771217714,0.06611316113161131
geopandas,0.002723970944309927,0.00221953188054883,0.002723970944309927,0.0010088781275221952,0.0,0.11864406779661017,0.009987893462469734,0.011702986279257465,0.25050443906376113
matplotlib,3.5780735651925e-05,4.128546421375962e-05,0.05730422432869835,0.0002752364280917308,0.0032367803943587543,0.0,0.08719765278374124,0.0015936189186511213,0.13554843610661557
numpy,0.0,5.330660895337804e-06,0.0012544821973694965,5.863726984871584e-05,0.00017591180954614754,0.05629355594173232,0.0,0.0001439278441741207,0.16726725446087473
bokeh,0.0023179814561483506,0.0020139838881288947,0.003381972944216446,0.04594163246694027,0.004407964736282109,0.022001823985408116,0.0030779753761969904,0.0,0.08785529715762273
pandas,4.420269962171795e-05,2.4815550664824112e-05,0.007961138847658887,0.00016672948102928702,0.0019255316343986958,0.03819113247316431,0.07300037068228805,0.0017929235355335416,0.0
